yy,mm,dd,hh,mi,ss,seq,theTime,logID,clientIP,requestor,server,dbname,access,elapsed,busy,rows,statement,error,errorMessage,isvisible
2020,6,15,17,51,22,2431733157,6/15/2020 5:51:23 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.19,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 15 and 16 ",0,,1
2020,6,15,17,50,56,2431733159,6/15/2020 5:50:57 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.032,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 14 and 15 ",0,,1
2020,6,15,17,50,21,2431733161,6/15/2020 5:50:21 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.17,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 13 and 14 ",0,,1
2020,6,15,17,49,48,2431733163,6/15/2020 5:49:48 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.17,0.02,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 12 and 13 ",0,,1
2020,6,15,17,49,10,2431733164,6/15/2020 5:49:11 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.19,0.016,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 11 and 12 ",0,,1
2020,6,15,17,48,38,2431733166,6/15/2020 5:48:38 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.018,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 10 and 11 ",0,,1
2020,6,15,17,47,57,2431733168,6/15/2020 5:47:57 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.02,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 9 and 10 ",0,,1
2020,6,15,17,47,28,2431733172,6/15/2020 5:47:28 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.183,0.018,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 8 and 9 ",0,,1
2020,6,15,17,46,56,2431733173,6/15/2020 5:46:57 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.018,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 7 and 8 ",0,,1
2020,6,15,17,46,30,2431733174,6/15/2020 5:46:30 PM,2174,82.14.33.195,skyserver.sdss.org,SDSS4E,BestDR14_SSD,Skyserver.Search.SQL,0.186,0.019,1,"SELECT count (G.PetroRad_u) as num_Gals, avg(G.PetroRad_u) as avg_Petrou FROM Galaxy as G JOIN SpecObj as S ON S.bestObjID = G.objID WHERE G.ra between 150 and 210 AND G.dec between 40 and 60 AND S.class = 'galaxy' AND S.zWarning = 0 AND G.PetroMag_u > -9998 AND S.z between .015 and .03 AND G.PetroRad_u between 6 and 7 ",0,,1
