objID,z,zErr,nnCount,nnVol,photoErrorClass,nnObjID,nnSpecz,nnFarObjID,nnAvgZ,distMod,lumDist,chisq,rnorm,bestFitTemplateID,synthU,synthG,synthR,synthI,synthZ,kcorrU,kcorrG,kcorrR,kcorrI,kcorrZ,kcorrU01,kcorrG01,kcorrR01,kcorrI01,kcorrZ01,absMagU,absMagG,absMagR,absMagI,absMagZ
1237655693018203011,0.238001,0.123047,98,70.8579,-5,1237648722828722521,0.281,1237666273665679890,0.329211,40.3755,1188.77,29.2252,1.30384,8,24.6105,22.9085,21.6305,21.1725,20.8795,0.778,0.61,0.028,-0.109,-0.157,0.559,0.436,0.042,-0.064,-0.07,-16.1538,-19.2142,-18.8067,-18.5932,-19.2818
1237656243315999978,0.925535,0.11184,97,24.83329,-7,1237678602921705902,0.715554,1237660344475517155,0.728437,43.9097,6052.49,23.5451,3.49092,21,22.582,22.264,21.713,20.991,20.256,-0.267,0.6,0.729,0.318,-0.17,-0.328,0.5,0.708,0.39,-0.085,-21.3187,-21.5405,-21.4566,-22.6413,-26.502
1237657242436108677,0.299089,0.074175,98,6.553874,-2,1237649961916629279,0.4845,1237661149769957691,0.323645,40.9448,1545.08,13.2513,0.560813,37,22.6151,21.9141,20.9871,20.5661,20.1741,0,0.322,0.038,-0.103,-0.244,-0.03,0.267,0.002,-0.001,-0.163,-18.0358,-19.6401,-20.1101,-19.9342,-20.4007
1237657775004582939,0.392729,0.103524,99,186.1274,-7,1237656495650702018,0.514492,1237655126094119642,0.427159,41.638,2126.17,5.91537,1.633,35,23.181,22.924,22.177,21.946,21.69,-0.389,0.102,-0.258,-0.361,-0.462,-0.318,0.136,-0.233,-0.17,-0.333,-18.4072,-17.3921,-18.9396,-19.6612,-18.898
1237658803118801694,0.55107,0.070894,98,1.169736,-4,1237655125020639703,0.631497,1237661971725222198,0.568477,42.5215,3193.76,16.5003,2.70876,18,23.0689,22.6089,21.6749,20.9979,20.5829,-0.101,0.57,0.314,-0.069,-0.237,-0.145,0.483,0.277,0.022,-0.152,-21.9983,-20.3165,-21.0193,-21.3455,-22.2242
1237659119876834082,0.364386,0.208438,99,34.10517,1,1237655692478251789,0.55618,1237654381439418861,0.403724,41.4458,1946.04,154.645,3.16729,34,20.99,20.918,20.42,20.34,20.108,-0.607,-0.141,-0.409,-0.455,-0.57,-0.455,-0.066,-0.366,-0.198,-0.422,-21.5463,-22.9777,-20.1546,-20.2503,-21.0195
1237660635456078138,-9999,-9999,-9999,1219.786,-7,1237658491733606416,0.139255,1237679004486729792,0.201463,39.967,984.896,10.3438,2.27192,34,22.6261,22.3221,21.9781,21.8041,21.7781,-0.346,-0.112,-0.226,-0.366,-0.275,-0.194,-0.037,-0.183,-0.109,-0.127,-19.1201,-17.0688,-17.8582,-18.1169,-17.3501
1237660963480797858,0.510486,0.054724,100,4.313388,-7,1237651271354286670,0.488701,1237674649921978986,0.501424,42.32,2910.78,6.86716,1.45776,35,22.6411,22.4431,21.7801,21.4451,21.2311,-0.527,0.023,-0.253,-0.46,-0.519,-0.456,0.057,-0.228,-0.269,-0.39,-20.352,-19.4223,-19.9895,-20.4856,-21.1728
1237661060645126205,-9999,-9999,-9999,1927.37,-7,1237660613972328710,0.23373,1237648705129021679,0.196672,39.9084,958.698,55.552,4.9536,34,18.9832,18.6792,18.3352,18.1612,18.1352,-0.346,-0.112,-0.226,-0.366,-0.275,-0.194,-0.037,-0.183,-0.109,-0.127,-20.6934,-22.0966,-20.5418,-22.2115,-16.7836
1237661126155371096,-9999,-9999,-9999,30.94696,-7,1237655463783432956,0.793085,1237663787955061415,0.686692,43.1064,4181.01,5.09551,1.96068,35,22.9876,22.8336,22.4756,21.9016,21.6806,-0.726,-0.132,-0.103,-0.549,-0.615,-0.655,-0.098,-0.078,-0.358,-0.486,-19.3847,-20.1739,-18.7224,-20.5001,-21.5586
