specobjid,objid,dr7objid,ra,dec,rastring,decstring,nvote,p_el,p_cw,p_acw,p_edge,p_dk,p_mg,p_cs,p_el_debiased,p_cs_debiased,spiral,elliptical,uncertain
2112355425897703424,1237663917346324663,587738196121419910,136.6071,64.71547,09:06:25.70,+64:42:55.7,57,0.456000000238419,0.0179999992251396,0.0879999995231628,0.421000003814697,0.0179999992251396,0,0.526000022888184,0.127000004053116,0.847000002861023,0,0,1
1641579708690753536,1237662193456382092,588017947208188032,195.9337,41.0713,13:03:44.09,+41:04:16.7,29,0.24099999666214,0,0.034000001847744,0.723999977111816,0,0,0.75900000333786,0.0579999983310699,0.941999971866608,1,0,0
2381326740791257088,1237665531172487355,587739809947582661,207.6753,25.1295,13:50:42.07,+25:07:46.2,24,0,0.0419999994337559,0.916999995708466,0,0.0419999994337559,0,0.958000004291534,0,0.958000004291534,1,0,0
2733815879467821056,1237667782275105066,587742061050200378,130.8624,13.20208,08:43:26.97,+13:12:07.5,38,0.867999970912933,0,0.0260000005364418,0.0260000005364418,0.0790000036358833,0,0.0529999993741512,0.837999999523163,0.0810000002384186,0,1,0
1369217752350353408,1237660345011404895,588297865794617534,147.5022,42.06097,09:50:00.54,+42:03:39.5,26,0.615000009536743,0,0,0.345999985933304,0.0379999987781048,0,0.345999985933304,0.229000002145767,0.708000004291534,0,0,1
2262095430399584256,1237665443127558223,587739721902653514,198.0733,30.29828,13:12:17.60,+30:17:53.8,25,0.159999996423721,0.519999980926514,0,0.319999992847443,0,0,0.839999973773956,0.0410000011324883,0.958999991416931,1,0,0
507935921136494592,1237651191361503433,587725470136598733,141.45,57.36897,09:25:47.99,+57:22:08.3,25,0.879999995231628,0,0.0399999991059303,0,0.0799999982118607,0,0.0399999991059303,0.878000020980835,0.0419999994337559,0,1,0
740858392502888448,1237652946385043576,587727225160138858,16.01687,-10.68156,01:04:04.05,-10:40:53.6,36,0.444000005722046,0.0280000008642673,0.111000001430511,0.333000004291534,0.0829999968409538,0,0.472000002861023,0.109999999403954,0.767000019550323,0,0,1
2045919624528160768,1237662264859754761,587736543634850046,229.0495,8.095,15:16:11.87,+08:05:42.0,21,0.0480000004172325,0,0,0.952000021934509,0,0,0.952000021934509,0.0480000004172325,0.952000021934509,1,0,0
540558707369469952,1237651753995665947,587726032770761216,146.5177,2.029056,09:46:04.25,+02:01:44.6,25,0.600000023841858,0.119999997317791,0.0399999991059303,0.159999996423721,0.0799999982118607,0,0.319999992847443,0.256000012159348,0.620999991893768,0,0,1
2658364092380637184,1237667542825107702,587741821600202980,144.3388,20.19506,09:37:21.31,+20:11:42.2,61,0.656000018119812,0.0489999987185001,0.0659999996423721,0.196999996900558,0.0329999998211861,0,0.310999989509583,0.317999988794327,0.632000029087067,1,0,0
1915308626369603584,1237661817640386667,587736478660493442,207.3959,12.08486,13:49:35.02,+12:05:05.5,26,0.808000028133392,0,0.0379999987781048,0.0379999987781048,0.115000002086163,0,0.0769999995827675,0.736999988555908,0.138999998569489,0,0,1
404218163195045888,1237651213363446061,587725492138541107,262.6542,53.48389,17:30:37.01,+53:29:02.0,22,0.455000013113022,0.0450000017881393,0,0.0450000017881393,0.363999992609024,0.090999998152256,0.090999998152256,0.439000010490417,0.104000002145767,0,0,1
650844127553939456,1237654604788793452,588010358540599406,159.8702,4.105972,10:39:28.84,+04:06:21.5,34,0.882000029087067,0,0.0590000003576279,0.0590000003576279,0,0,0.118000000715256,0.852999985218048,0.146999999880791,0,1,0
2373461108443867136,1237664819823706277,587739098598801560,181.1239,38.25653,12:04:29.74,+38:15:23.5,26,0.345999985933304,0,0.30799999833107,0.268999993801117,0.0769999995827675,0,0.577000021934509,0.11599999666214,0.787999987602234,1,0,0
1576274496325707776,1237662335714787565,588018089466593536,231.6308,35.89706,15:26:31.40,+35:53:49.4,30,0.5,0.0329999998211861,0.0329999998211861,0.100000001490116,0.133000001311302,0.200000002980232,0.166999995708466,0.280000001192093,0.284000009298325,0,0,1
1992900612672481280,0,587736802933473438,192.3909,13.78581,12:49:33.81,+13:47:08.9,21,0.0949999988079071,0.14300000667572,0,0.333000004291534,0.28600001335144,0.14300000667572,0.476000010967255,0.0410000011324883,0.512000024318695,0,0,1
2643779620310116352,1237667113875406858,587741392650502150,154.0364,29.56919,10:16:08.74,+29:34:09.1,35,0.314000010490417,0,0,0.657000005245209,0.028999999165535,0,0.657000005245209,0.314000010490417,0.657000005245209,0,0,1
631805533224986624,1237655369820405848,588009366942974063,163.3628,60.62589,10:53:27.07,+60:37:33.2,60,0.400000005960464,0.0500000007450581,0.017000000923872,0.43299999833107,0.100000001490116,0,0.5,0.184000000357628,0.694999992847443,0,0,1
1922017583909857280,1237661951341101285,588017705092907242,214.9914,11.96208,14:19:57.94,+11:57:43.5,30,0.0329999998211861,0.0329999998211861,0.266999989748001,0.633000016212463,0.0329999998211861,0,0.933000028133392,0.0309999994933605,0.935000002384186,1,0,0
422375778445977600,1237663479260250264,587734304879214880,336.634,0.07552778,22:26:32.15,+00:04:31.9,30,0.833000004291534,0,0.0329999998211861,0,0.133000001311302,0,0.0329999998211861,0.833000004291534,0.034000001847744,0,1,0
1310636596868966400,1237659150459404483,587733429234499760,223.4487,54.15117,14:53:47.68,+54:09:04.2,53,0.829999983310699,0,0.0189999993890524,0.0379999987781048,0.112999998033047,0,0.0570000000298023,0.640999972820282,0.186000004410744,0,0,1
2230520473496610816,1237665331454476385,587739610229571687,162.0328,31.46689,10:48:07.87,+31:28:00.8,65,0.892000019550323,0,0,0.046000000089407,0.0309999994933605,0.0309999994933605,0.046000000089407,0.691999971866608,0.200000002980232,0,0,1
1105688175717672960,1237656567038018170,587730845813113564,311.7974,-1.258056,20:47:11.37,-01:15:29.0,46,0.0869999974966049,0.0219999998807907,0.782999992370605,0.108999997377396,0,0,0.912999987602234,0.0309999994933605,0.968999981880188,1,0,0
1337734885166573568,1237658300596158628,587734690348597269,131.8375,5.518028,08:47:20.99,+05:31:04.9,45,0.444000005722046,0,0.133000001311302,0.133000001311302,0.266999989748001,0.0219999998807907,0.266999989748001,0.442999988794327,0.26800000667572,0,0,1
2510844816925943808,1237667210528424110,587741489303519406,182.3943,29.33658,12:09:34.63,+29:20:11.7,53,0.546999990940094,0.0189999993890524,0.0570000000298023,0.188999995589256,0.188999995589256,0,0.263999998569489,0.426999986171722,0.368000000715256,0,0,1
2163982700224997376,1237664836460544466,587739115235639772,121.6002,19.07394,08:06:24.05,+19:04:26.2,21,0.28600001335144,0,0,0.619000017642975,0.0949999988079071,0,0.619000017642975,0.275999993085861,0.629000008106232,1,0,0
1821742660310820864,1237661970643026045,588017724394832037,171.9662,6.56825,11:27:51.90,+06:34:05.7,33,0.758000016212463,0.0299999993294477,0,0.0299999993294477,0.181999996304512,0,0.0610000006854534,0.725000023841858,0.0890000015497208,0,0,1
2638081950685882368,1237667431171752202,587741709946847457,150.3704,23.88942,10:01:28.90,+23:53:21.9,30,0,0.0329999998211861,0,0.866999983787537,0.100000001490116,0,0.899999976158142,0,0.899999976158142,1,0,0
1934434093257222144,1237662637980451118,587736916755546307,227.3195,11.95975,15:09:16.69,+11:57:35.1,31,0.741999983787537,0,0,0.160999998450279,0.0970000028610229,0,0.160999998450279,0.513000011444092,0.354000002145767,0,0,1
1958109863716349952,1237661924478681218,588017678230487052,139.0314,10.96967,09:16:07.53,+10:58:10.8,23,0.435000002384186,0.0430000014603138,0,0.34799998998642,0.0869999974966049,0.0869999974966049,0.391000002622604,0.193000003695488,0.584999978542328,0,0,1
1121510425855289344,1237658424624021631,587732703399116845,151.7703,7.01625,10:07:04.88,+07:00:58.5,56,0.945999979972839,0,0.0179999992251396,0.0179999992251396,0,0.0179999992251396,0.0359999984502792,0.944999992847443,0.0370000004768372,0,1,0
1467156206559717376,1237661065486794865,587735344261890180,142.0858,9.612389,09:28:20.58,+09:36:44.6,35,0.570999979972839,0.028999999165535,0,0.28600001335144,0.114000000059605,0,0.314000010490417,0.256999999284744,0.575999975204468,0,0,1
2368925904215762944,1237665329858019545,587739608633114801,200.1772,31.185,13:20:42.52,+31:11:06.0,23,0.65200001001358,0,0.0430000014603138,0.261000007390976,0.0430000014603138,0,0.303999990224838,0.65200001001358,0.303999990224838,0,0,1
672271405458417664,1237651066813677809,587729155206545649,170.9686,64.57486,11:23:52.47,+64:34:29.5,57,0.876999974250793,0.0879999995231628,0,0.0179999992251396,0.0179999992251396,0,0.104999996721745,0.796999990940094,0.185000002384186,0,0,1
3122133162109462528,1237667734521512367,587742013296607655,215.7956,19.03745,14:23:10.94,+19:02:14.8,36,0.194000005722046,0.333000004291534,0.0829999968409538,0.333000004291534,0.0560000017285347,0,0.75,0.061999998986721,0.875999987125397,0,0,1
1094390143348926464,1237655473972183370,587729752747278672,255.6194,33.34922,17:02:28.65,+33:20:57.2,29,0.828000009059906,0.034000001847744,0.034000001847744,0.0689999982714653,0.034000001847744,0,0.137999996542931,0.550999999046326,0.39300000667572,0,0,1
2052611252882008064,1237662269153870304,588017991243006235,241.8909,5.345583,16:07:33.81,+05:20:44.1,31,0.902999997138977,0.0320000015199184,0,0.0320000015199184,0.0320000015199184,0,0.0649999976158142,0.754000008106232,0.202999994158745,0,0,1
1485102431002978304,1237661387064017029,587735665839112298,198.2289,56.64253,13:12:54.94,+56:38:33.1,62,0.823000013828278,0.0480000004172325,0,0.0320000015199184,0.0970000028610229,0,0.0810000002384186,0.777999997138977,0.122000001370907,0,1,0
570911006839040000,1237651752928673939,587726031703769239,161.9784,1.483444,10:47:54.82,+01:29:00.4,66,0.879000008106232,0,0.0149999996647239,0.0149999996647239,0.090999998152256,0,0.0299999993294477,0.875,0.034000001847744,0,1,0
751079727757813760,1237679338956914737,587727781889966228,32.05971,-7.678361,02:08:14.33,-07:40:42.1,47,0.488999992609024,0.0430000014603138,0,0.467999994754791,0,0,0.510999977588654,0.314000010490417,0.685999989509583,0,0,1
1563981400950990848,1237662340546756730,587736619321852017,233.8349,30.88111,15:35:20.37,+30:52:52.0,39,0.666999995708466,0.0260000005364418,0,0.153999999165535,0.128000006079674,0.0260000005364418,0.179000005125999,0.263999998569489,0.444999992847443,0,0,1
2176517958522660864,1237664878872887501,587739157647982732,134.6305,26.01906,08:58:31.32,+26:01:08.6,33,0.697000026702881,0.0299999993294477,0.120999999344349,0.0610000006854534,0.090999998152256,0,0.211999997496605,0.456000000238419,0.421999990940094,0,0,1
315327592385243136,1237648721226170516,588848899908108443,169.5997,-0.01758333,11:18:23.94,-00:01:03.3,26,0.653999984264374,0.0769999995827675,0.0769999995827675,0.19200000166893,0,0,0.345999985933304,0.474000006914139,0.526000022888184,0,0,1
647481270904842240,1237654606397177956,588010360148983909,154.749,4.983111,10:18:59.75,+04:58:59.2,30,0.866999983787537,0,0,0.0329999998211861,0.100000001490116,0,0.0329999998211861,0.741999983787537,0.119999997317791,0,0,1
456073605378238464,1237663783674708074,588015508746666137,32.37988,-0.3236111,02:09:31.17,-00:19:25.0,68,0.925999999046326,0,0.028999999165535,0,0.0439999997615814,0,0.028999999165535,0.925999999046326,0.028999999165535,0,1,0
2432079378767702016,1237665102217740399,587739380992835706,230.7745,26.02361,15:23:05.87,+26:01:25.0,55,0.617999970912933,0.0359999984502792,0,0.273000001907349,0.0729999989271164,0,0.308999985456467,0.333999991416931,0.565999984741211,0,0,1
3130165644708833280,1237665565002694826,587742062701773017,229.0708,17.52247,15:16:17.00,+17:31:20.9,70,0.328999996185303,0.0570000000298023,0.370999991893768,0.214000001549721,0.028999999165535,0,0.64300000667572,0.0649999976158142,0.897000014781952,1,0,0
2821672637304956928,1237667916490539225,588023670242345141,176.2688,20.60761,11:45:04.50,+20:36:27.4,28,0.10700000077486,0,0,0.89300000667572,0,0,0.89300000667572,0.0439999997615814,0.955999970436096,1,0,0
745479365013301248,1237670956787957918,587727231058706529,23.81392,-9.179334,01:35:15.34,-09:10:45.6,48,0.853999972343445,0,0.061999998986721,0.061999998986721,0.0209999997168779,0,0.125,0.730000019073486,0.24600000679493,0,0,1
868208505914419200,1237668671864045714,587725474418458723,154.156,61.67506,10:16:37.45,+61:40:30.2,36,0.555999994277954,0,0.0280000008642673,0.361000001430511,0.0560000017285347,0,0.388999998569489,0.204999998211861,0.709999978542328,0,0,1
2846355030657755136,1237668310557065724,587742589332160902,243.0094,10.68411,16:12:02.26,+10:41:02.8,24,0.208000004291534,0.791999995708466,0,0,0,0,0.791999995708466,0.0670000016689301,0.933000028133392,1,0,0
1533596120813430784,1237661852536471607,588017606288277565,163.373,44.12853,10:53:29.52,+44:07:42.7,27,0.888999998569489,0.0370000004768372,0,0,0.0740000009536743,0,0.0370000004768372,0.851999998092651,0.0710000023245811,0,0,1
2797958095588845568,1237668294981517479,587742573756612728,163.9756,19.61381,10:55:54.15,+19:36:49.7,29,0.172000005841255,0.137999996542931,0.034000001847744,0.620999991893768,0.034000001847744,0,0.792999982833862,0.0419999994337559,0.920000016689301,0,0,1
