3,"ALL;count(*), specobjall;from, specobjall.ra;where_<=, specobjall.ra;where_>=, specobjall.dec;where_<=, specobjall.dec;where_>=, specobjall.class;groupBy, photoobjall.clean;where_=, specobjall.zwarning;where_=, specobjall.specobjid = photoobjall.specobjid;join"
2,"ALL;count(*), photoobj;from, nsatlas.z = specobj.z;join, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join, stellarmassfspsgranwidedust.specobjid = specobj.specobjid;join"
4,"photoobj;from, photoobj.objid;count, specobj.bestobjid = photoobj.objid;join"
1,"galspecindx;from, specobj.class;where_=, specobj.specobjid;count, specobj.zwarning;where_=, specobj.specobjid = galspecindx.specobjid;join"
1,"ALL;count(*), specphoto;from, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.petromag_z;where_<, specphoto.specobjid = stellarmassfspsgranearlydust.specobjid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.snmedian;where_>, specobj.zwarning;where_=, galspecline.h_beta_flux;where_>, galspecline.h_alpha_flux;where_>, galspecline.nii_6584_flux;where_>, galspecline.oiii_5007_flux;where_>, specobj.bestobjid = photoobj.objid;join, specobj.specobjid = galspecline.specobjid;join"
1,"photoobj;from, specobj.z;where_>, photoobj.objid;count, photoobj.type;where_=, specobj.class;where_=, specobj.bestobjid = photoobj.objid;join"
7,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, zoospec.p_el;where_>, specobj.class;where_=, galaxy.objid = photoobj.objid;join, photoobj.objid = zoospec.objid;join, photoobj.objid = specobj.bestobjid;join"
2,"galaxy;from, ALL;count(*), specobj.z;where_<=, specobj.z;where_>=, zoospec.p_el;where_>, specobj.class;where_=, photoz.absmagr;where_<, galaxy.petromag_r;where_<, photoz.objid = galaxy.objid;join, zoospec.objid = galaxy.objid;join, specobj.bestobjid = galaxy.objid;join"
1,"ALL;count(*), galspecline;from, specobjall.z;where_<, specobjall.class;where_=, specobjall.veldisp;where_<, specobjall.veldisp;where_>, specobjall.snmedian;where_>, specobjall.subclass;where_=, specobjall.zwarning;where_=, specobjall.veldisperr;where_>, galspecline.h_beta_flux_err;where_>, galspecline.h_alpha_flux_err;where_>, galspecline.oi_6300_flux_err;where_>, galspecline.nii_6584_flux_err;where_>, galspecline.sii_6717_flux_err;where_>, galspecline.sii_6731_flux_err;where_>, galspecline.oiii_5007_flux_err;where_>, specobjall.specobjid = galspecline.specobjid;join"
1,"ALL;select, phototag;from, photoz.z;where_<=, photoz.z;where_>=, phototag.ra;where_<=, phototag.ra;where_>=, phototag.dec;where_<=, phototag.dec;where_>=, phototag.type;where_=, photoz.objid = phototag.objid;join"
2,"galaxy;from, galaxy.objid;count, galaxy.clean;where_=, zoonospec.p_cw;where_>, zoonospec.nvote;where_>=, galaxy.objid = zoonospec.objid;join"
8,"ALL;count(*), photoobj;from, photoobj.type;where_=, photoz.objid = photoobj.objid;join"
1,"ALL;count(*), mangadrpall;from, mangadapall.nsa_sersic_th50;where_>, mangadapall.mangaid = mangadrpall.mangaid;join"
3,"ALL;count(*), spplines;from, specobj.class;where_=, spplines.specobjid = specobj.specobjid;join"
2,"ALL;count(*), photoobj;from, photoobj.b;where_<=, photoobj.b;where_>=, photoobj.l;where_<=, photoobj.l;where_>=, specobj.bestobjid = photoobj.objid;join"
3,"photoobj;from, specobj.z;count, specobj.z;where_<=, specobj.z;where_>=, photoobj.type;where_=, specobj.class;where_=, specobj.zwarning;where_=, platex.plateid = specobj.plateid;join, specobj.bestobjid = photoobj.objid;join"
1,"ALL;count(*), specphoto;from, specphoto.z;where_<=, specphoto.z;where_>=, zoospec.objid = specphoto.specobjid;join, stellarmassfspsgranearlydust.specobjid = specphoto.specobjid;join"
1,"specphoto;from, specphoto.z;count, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.class;where_=, specphoto.modelmag_g;where_<, specphoto.modelmag_i;where_<, specphoto.modelmag_r;where_<, specphoto.modelmag_u;where_<, specphoto.modelmag_z;where_<, specphoto.objid = first.objid;join"
1,"galaxy;from, ALL;count(*), mangapipe3d.objdec = galaxy.dec;join"
1,"ALL;count(*), mangapipe3d;from, mangapipe3d.log_sfr_ha;where_="
3,"ALL;count(*), specphoto;from, specphoto.z;where_<=, specphoto.z;where_>=, specphoto.class;where_=, stellarmassfspsgranearlydust.specobjid = specphoto.specobjid;join"
4,"galaxy;from, ALL;count(*), galaxy.r;where_<, galaxy.objid = zoo2mainspecz.dr8objid;join, zoo2mainspecz.t01_smooth_or_features_a03_star_or_artifact_debiased;where_<"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, zoospec.spiral;where_=, specobj.veldisp;where_>, nsatlas.sersic_n;where_<, photoobj.devrad_r;where_>, nsatlas.z = specobj.z;join, nsatlas.sersic_mass;where_>, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_>=, emissionlinesport.ew_ha_6562;where_>, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join, emissionlinesport.specobjid = specobj.specobjid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, photoobj.type;where_=, photoobj.petromag_r;where_<, zoospec.p_el_debiased;where_>, zoospec.objid = photoobj.objid;join, specobj.bestobjid = photoobj.objid;join"
8,"ALL;count(*), mangapipe3d;from"
4,"ALL;count(*), specphotoall;from, specphotoall.z;where_<, specphotoall.z;where_>, specphotoall.ra;where_<=, specphotoall.ra;where_>=, specphotoall.dec;where_<=, specphotoall.dec;where_>=, specphotoall.mode;where_=, specphotoall.type;where_=, specphotoall.class;where_=, specphotoall.petromag_r;where_<, specphotoall.petromag_r;where_>=, photoz.objid = specphotoall.objid;join"
1,"ALL;count(*), photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, specobj.veldisp;where_>, specobj.snmedian;where_>, specobj.subclass;where_=, specobj.zwarning;where_=, specobj.bestobjid = photoobj.objid;join"
3,"ALL;count(*), mangapipe3d;from, mangapipe3d.mangaid;groupBy, mangapipe3d.log_mass_gas;where_=, mangapipe3d.e_log_mass_gas;where_="
2,"ALL;count(*), galspecline;from, specobjall.z;where_<, specobjall.class;where_=, specobjall.veldisp;where_<, specobjall.veldisp;where_>, specobjall.snmedian;where_>, specobjall.subclass;where_=, specobjall.zwarning;where_=, specobjall.veldisperr;where_>, galspecline.h_beta_flux_err;where_>, galspecline.h_alpha_flux_err;where_>, galspecline.oiii_5007_flux_err;where_>, specobjall.specobjid = galspecline.specobjid;join"
1,"photoobj;from, specobj.z;where_<=, specobj.z;where_>=, specobj.class;where_=, nsatlas.sersic_ba;where_>, nsatlas.sersic_mass;count, nsatlas.z = specobj.z;join, photoobj.fracdev_r;where_<=, photoobj.fracdev_r;where_>=, zoospec.p_cs_debiased;where_<=, specobj.bestobjid = photoobj.objid;join, zoospec.specobjid = specobj.specobjid;join"
1,"ALL;count(*), mangadapall;from, pawlikmorph.mangaid = mangadapall.mangaid;join, mangagalaxyzoo.mangaid = mangadapall.mangaid;join"
